gene,pval
mRNA.MSTRG.14.1,3.729623542
mRNA.MSTRG.40.2,1.48507076
mRNA.MSTRG.63.1,2.630852402
mRNA.MSTRG.86.1,2.168824141
mRNA.MSTRG.108.1,2.563376293
mRNA.MSTRG.119.1,1.623991613
mRNA.MSTRG.141.1,2.69525732
mRNA.MSTRG.165.2,1.974809629
mRNA.MSTRG.166.1,1.623966453
mRNA.MSTRG.169.1,3.566967445
mRNA.MSTRG.170.1,2.418232175
mRNA.MSTRG.172.1,4.058327873
mRNA.MSTRG.212.1,2.339784821
mRNA.MSTRG.217.1,5.918963444
mRNA.MSTRG.218.1,3.303220948
mRNA.MSTRG.219.1,0.469856312
mRNA.MSTRG.234.1,4.533913552
mRNA.MSTRG.245.1,0.737978206
mRNA.MSTRG.248.1,2.75692896
mRNA.MSTRG.273.2,2.703679197
mRNA.MSTRG.273.1,2.686769551
mRNA.MSTRG.278.2,2.980183215
mRNA.MSTRG.279.1,2.624460912
mRNA.MSTRG.301.1,2.075101854
mRNA.MSTRG.310.1,2.980234554
mRNA.MSTRG.315.1,4.220311607
mRNA.MSTRG.318.1,0.964016733
mRNA.MSTRG.344.1,1.485074152
mRNA.MSTRG.351.1,0.964016733
mRNA.MSTRG.366.1,3.53213939
mRNA.MSTRG.367.1,3.422200162
mRNA.MSTRG.374.1,2.418233299
mRNA.MSTRG.379.1,1.974788279
mRNA.MSTRG.392.1,5.958904695
mRNA.MSTRG.405.1,3.261267789
mRNA.MSTRG.410.1,2.075079282
mRNA.MSTRG.422.1,2.695250055
mRNA.MSTRG.441.1,3.930323461
mRNA.MSTRG.449.3,5.329815528
mRNA.MSTRG.449.5,4.581113236
mRNA.MSTRG.469.1,3.875774269
mRNA.MSTRG.459.1,1.867075051
mRNA.MSTRG.484.1,6.15491156
mRNA.MSTRG.485.1,4.082614467
mRNA.MSTRG.507.1,0.737935
mRNA.MSTRG.508.1,1.623944583
mRNA.MSTRG.521.2,3.303234699
mRNA.MSTRG.522.1,5.296050589
mRNA.MSTRG.524.1,3.789871419
mRNA.MSTRG.539.1,2.256844244
mRNA.MSTRG.560.1,3.696109526
mRNA.MSTRG.563.1,3.261269672
mRNA.MSTRG.570.1,3.956856062
mRNA.MSTRG.582.1,1.331387771
mRNA.MSTRG.612.2,2.492628524
mRNA.MSTRG.618.1,1.624270579
mRNA.MSTRG.628.1,5.856949202
mRNA.MSTRG.648.1,6.839622131
mRNA.MSTRG.651.1,2.927529117
mRNA.MSTRG.663.1,1.974788279
mRNA.MSTRG.695.1,4.36599477
mRNA.MSTRG.713.1,2.630811724
mRNA.MSTRG.720.1,2.538101379
mRNA.MSTRG.726.1,1.623980429
mRNA.MSTRG.762.2,2.630845599
mRNA.MSTRG.773.1,5.891749198
mRNA.MSTRG.787.1,1.750652338
mRNA.MSTRG.792.1,3.459777616
mRNA.MSTRG.799.1,5.543646304
mRNA.MSTRG.821.1,2.695222976
mRNA.MSTRG.827.1,2.563358534
mRNA.MSTRG.837.1,3.496415418
mRNA.MSTRG.846.1,6.821721537
mRNA.MSTRG.870.1,3.080153277
mRNA.MSTRG.872.1,3.261266593
mRNA.MSTRG.879.1,3.982930994
mRNA.MSTRG.882.1,2.756889676
mRNA.MSTRG.883.1,3.26436672
mRNA.MSTRG.883.2,3.923821516
mRNA.MSTRG.883.3,5.778633376
mRNA.MSTRG.898.1,4.284545228
mRNA.MSTRG.905.1,4.585829202
mRNA.MSTRG.906.1,5.047308814
mRNA.MSTRG.914.1,2.927543683
mRNA.MSTRG.920.1,6.665648897
mRNA.MSTRG.923.1,4.26348922
mRNA.MSTRG.954.1,5.221452601
mRNA.MSTRG.983.1,1.75060559
mRNA.MSTRG.993.4,2.848265651
mRNA.MSTRG.995.1,-0.287718514
mRNA.MSTRG.999.1,3.343997179
mRNA.MSTRG.1015.1,5.210521261
mRNA.MSTRG.1061.1,4.585826191
mRNA.MSTRG.1068.1,1.974816344
mRNA.MSTRG.1073.1,3.127606202
mRNA.MSTRG.1089.1,3.344019891
mRNA.MSTRG.1090.1,1.623959668
mRNA.MSTRG.1094.1,0.737931362
mRNA.MSTRG.1109.1,5.406004579
mRNA.MSTRG.1129.1,5.965450633
mRNA.MSTRG.1145.1,4.443058272
mRNA.MSTRG.1170.1,2.075096892
mRNA.MSTRG.1199.1,1.623950425
mRNA.MSTRG.1211.1,2.927511906
mRNA.MSTRG.1220.1,1.485060184
mRNA.MSTRG.1223.1,1.750647569
mRNA.MSTRG.1249.1,4.731217454
mRNA.MSTRG.1268.1,2.075048112
mRNA.MSTRG.1274.1,1.867119627
mRNA.MSTRG.1275.1,2.563375024
mRNA.MSTRG.1276.1,3.343970671
mRNA.MSTRG.1298.1,2.756899754
mRNA.MSTRG.1314.1,2.168818242
mRNA.MSTRG.1341.1,1.867051342
mRNA.MSTRG.1370.1,7.075758062
mRNA.MSTRG.1391.1,1.48504248
mRNA.MSTRG.1426.1,4.175889578
mRNA.MSTRG.1422.1,2.075076024
mRNA.MSTRG.1445.1,3.69851237
mRNA.MSTRG.1471.1,4.585803619
mRNA.MSTRG.1473.1,4.029967685
mRNA.MSTRG.1473.2,3.986743208
mRNA.MSTRG.1481.1,2.256792423
mRNA.MSTRG.1500.1,5.0717772
mRNA.MSTRG.1518.1,6.12598662
mRNA.MSTRG.1526.2,4.793323175
mRNA.MSTRG.1532.1,2.075093514
mRNA.MSTRG.1537.1,3.303258392
mRNA.MSTRG.1541.1,2.98019841
mRNA.MSTRG.1550.1,2.630770492
mRNA.MSTRG.1566.8,6.078462596
mRNA.MSTRG.1614.1,2.256835862
mRNA.MSTRG.1621.1,4.106487872
mRNA.MSTRG.1638.1,1.867071033
mRNA.MSTRG.1640.1,6.029325949
mRNA.MSTRG.1647.1,1.867078017
mRNA.MSTRG.1650.1,4.533973807
mRNA.MSTRG.1673.1,3.261245225
mRNA.MSTRG.1690.1,3.982902529
mRNA.MSTRG.1693.1,2.816112126
mRNA.MSTRG.1697.1,1.974841397
mRNA.MSTRG.1698.1,3.080109473
mRNA.MSTRG.1703.1,1.623933953
mRNA.MSTRG.1706.1,0.737955907
mRNA.MSTRG.1728.1,3.930358245
